user,comment,sentiment,clean
Melissa,"A perfectly fine cookie, but I expected more of the tahini to come through. Listen to other posters who said they upped it.",pos,perfectly fine cookie expect tahini come listen poster say up
Susan,"Add more tahini and less chocolate chips
Try some time with some rye flour",neu,add tahini chocolate chip try time rye flour
seismopaul,"modifications:
-used just 1/2 cup demerara sugar plus about 2 Tbsp granulated
-1 large egg
-used table salt by accident so omitted top sprinkle.

Cookies were good. Sweet enough but they did not spread.  Taste was a bit too buttery. Sort of sandy texture (from demerara?) but tahini flavor was subdued. Was not blown away but I did mess with the formula. Will probably play around some more with this.",neu,modification cup demerara sugar plus tbsp granulated large egg table salt accident omit sprinkle cookie good sweet spread taste bit buttery sort sandy texture demerara tahini flavor subdue blow away mess formula probably play
Rachel,Made exactly as recipe instructs and they are wonderful. My coworkers request this recipe specifically when I’m in a baking mood. Delicious!,pos,exactly recipe instruct wonderful coworker request recipe specifically m baking mood delicious
Pallavi,"I have made these cookies twice, following slight tweaks mentioned by Shaila M (more tahini, more chocolate, smaller cookies, 2 eggs ...) and each time when someone had them, they said it was the best cookie they have ever had. Unprompted!",pos,cookie twice follow slight tweak mention shaila m tahini chocolate small cookie egg time say good cookie unprompte
Seraphina,The tahini really makes the cookies ver good. I used sesame tahini and used bittersweet chocolate chips. The cookies have a great flavor and taste very rich. I like how the recipe includes sea salt on top of the cookies. I just made them and they taste unbelievably delicious!,pos,tahini make cookie ver good sesame tahini bittersweet chocolate chip cookie great flavor taste rich like recipe include sea salt cookie taste unbelievably delicious
db,"I made these with matzoh meal (regular, not cake, as I didn’t initially realize there is a difference) because I had just the right amount on hand and I wanted to use it up. I also used 2 whole eggs because I didn’t want to deal with the leftover white. And I chopped up some bars of valrhona chocolate. Definitely let them chill overnight as the dough was very soft. They are fantastic!",pos,matzoh meal regular cake didn t initially realize difference right hand want use egg didn t want deal leftover white chop bar valrhona chocolate definitely let chill overnight dough soft fantastic
Monique,"Froze the dough for 1 hour before baking, skipped the added Maldon salt, and layered with vanilla ice cream for a decadent dessert. Turned out perfectly!",pos,freeze dough hour baking skip add maldon salt layer vanilla ice cream decadent dessert turn perfectly
Camille,"Has anyone had any success making this with a food processor instead of a stand mixer? I made the dough with a processor tonight and it didn't really get light and fluffy— felt like more of a nougat. And the dough was hot from being processed, so the chips melted a bit when I put them in. Wondering if anyone has advice, or are food processors just not as suitable for cookie dough as their manuals claim them to be?",neu,success make food processor instead stand mixer dough processor tonight light fluffy feel like nougat dough hot process chip melt bit wonder advice food processor suitable cookie dough manual claim
Melinda A,"This recipe is incredible! I made these cookies for the holidays and gave them as gifts. I also kept a bunch for myself, of course. I substituted Cup 4 Cup gluten free flour and the results were chewy and perfect.",pos,recipe incredible cookie holiday give gift keep bunch course substitute cup cup gluten free flour result chewy perfect
Rad Rad,"Made the dough last night and baked a batch this morning. Only change to the recipe was that I used slightly less chocolate chunks due to the size of the package had only 200g. Result was delicious!

I like that I’ve still got cookie dough in the fridge to bake a few more fresh cookies at a later date. Used a 2” scoop, and was able to fit 6 on the cookie sheet. The cookies expanded to 4 - 5 inches diameter once baked.

Next time will try with 2 whole eggs (or just 1) as others have suggested.",pos,dough night bake batch morning change recipe slightly chocolate chunk size package g result delicious like ve get cookie dough fridge bake fresh cookie later date scoop able fit cookie sheet cookie expand inch diameter bake time try egg suggest
lms2,See Brenda's notes in Pages document,neu,brenda note page document
Barb in MN,"Excellent cookie
Make exactly as recipe.....made 4 dozen using cookie scoop, which is a nice manageable size for eating.",pos,excellent cookie exactly recipe dozen cookie scoop nice manageable size eat
Ines,Made this with half brown sugar and half granulated sugar. Browned the butter. Also added walnuts and halved the amount of chocolate chips because I was out. It came out delicious!,pos,half brown sugar half granulated sugar brown butter add walnut halve chocolate chip come delicious
Caroline,"FREEZE DOUGH BALLS ~ 5 min prebake to prevent spread. For double batch (got ~ 80 cookies) used 4 whole eggs, 1.25 cup tahini, scant 2 t kosher salt & most of 2 bags choc chips (1 bag Tollhouse semisweet chunks, 1 bag Tollhouse dark chips) - saving a bit of each type to top the cookie dough balls before baking. Topped w Maldon right out of oven. Next time up tahini even more (1.5 cups for double batch?) & use a tad less choc chips (1.5 bags total for double batch?).",neu,freeze dough ball min prebake prevent spread double batch get cookie egg cup tahini scant t kosher salt bag choc chip bag tollhouse semisweet chunk bag tollhouse dark chip save bit type cookie dough ball baking top w maldon right oven time tahini cup double batch use tad choc chip bag total double batch
Jude,"Wow, don’t change a thing except more chocolate chips.  These are absolutely amazing cookies.",pos,wow don t change thing chocolate chip absolutely amazing cookie
Gina G,"These cookies are always a huge hit EVERY time I make them, which has been at least 2 dozen times. I've adapted the recipe to be gluten free but the most G-free suspects devour them. To make G-free, I use a 1/3 cup almond flour, 1/3 cup coconut flour, and 1/3 (+ 2 TB) of the Bob Red Mill Gluten Free flour mix. Also, I cut the sugar to 2/3 cup. Nobody misses the gluten or sugar.",pos,cookie huge hit time dozen time adapt recipe gluten free g free suspect devour g free use cup almond flour cup coconut flour tb bob red mill gluten free flour mix cut sugar cup miss gluten sugar
Allesandra,"Made more or less per recipe (subbed brown sugar and threw some cacao nibs in) and was disappointed. Tahini doesn't come through at all. 

It's not a bad recipe, it's just not what I want. I was hoping for the chewy and slightly crystallized texture and sesame flavor of hair halvah in a cookie with the benefit of chocolate. Instead, this is a cakey & greasy plain chocolate chip cookie.",neg,recipe sub brown sugar throw cacao nib disappoint tahini come bad recipe want hope chewy slightly crystallize texture sesame flavor hair halvah cookie benefit chocolate instead cakey greasy plain chocolate chip cookie
bronnies,"Just made these and thought they were great. I would add more tahini next and I did cook slightly smaller cookies for about 20 minutes. They are moist and crispy in just the right doses.
A keeper!",pos,think great add tahini cook slightly small cookie minute moist crispy right dose keeper
Nicole,"I subbed Trader Joe’s GF flour blend (no xanthan gum). Also subbed in maple syrup for vanilla. Did everything else as described, including refrigeration and they turned out great!",pos,sub trader joe s gf flour blend xanthan gum sub maple syrup vanilla describe include refrigeration turn great
Dylan,I’ve made these dozens of times; just tried with black sesame and it yielded amazing jet black cookies that look burnt but taste wonderful.,pos,ve dozen time try black sesame yield amazing jet black cookie look burn taste wonderful
Jim,"Followed instructions perfectly.  Made 12 cookies.  Took twice as long to cook. Maybe because dough came from fridge, but I didn’t see anything say to let dough come to room before cooking.  These are enormous cookies.  No reason you can’t make 24 or more from dough, although I feel less guilt when I say I only at three.",neu,follow instruction perfectly cookie take twice long cook maybe dough come fridge didn t let dough come room cook enormous cookie reason t dough feel guilt
CL,"Edit to add 
Mixed by hand.
No problem.",neu,edit add mix hand problem
CL,"Nice delicious change from usual cookies.
Crispy and chewy.  Sweet, salty, nutty.
Read the notes and made following changes:
-1/2 c brown sugar   1/4 c granular sugar
-Replaced egg with 3tbsp aquafaba (liquid from chickpeas)
-Increased baking pwdr 1/4tsp to account for aquafaba 
-Refrigerated 2 hrs only
-30ml scoop (1/8c) used for cookies
-Salted before baking; slightly flattened cookie before baking.  Gave nice shape, v small dome to cookie
-Convection bake 325F, 18-19 mins.
30 cookies",pos,nice delicious change usual cookie crispy chewy sweet salty nutty read note follow change c brown sugar c granular sugar replace egg tbsp aquafaba liquid chickpeas increase bake pwdr tsp account aquafaba refrigerate hrs ml scoop c cookie salt bake slightly flatten cookie baking give nice shape v small dome cookie convection bake f min cookie
GM,"These cookies were delicious, but the came out looking like normal cookies with a domed center.  How can I make them look like the photo?",pos,cookie delicious come look like normal cookie domed center look like photo
heather,"Were anyone’s cookie dough dry? As in so dry it was hard to scoop the dough into balls? Was the end of my tahini jar, so maybe there wasn’t enough oil",neg,s cookie dough dry dry hard scoop dough ball end tahini jar maybe wasn t oil
Rose,"325 is too low, 20 minutes and now brown on the edges.  Trying 375...a normal cookie temp.",neg,  low minute brown edge try normal cookie temp
MamaBeasley,Delicious! I let the dough refrigerate for 24hrs and made bigger cookies. They turned out amazing.,pos,delicious let dough refrigerate hrs big cookie turn amazing
sandy,These are now my favourite chocolate chip cookie! Two caveats: I love halvah and I like soft cookies. Changed to 3/4 c. tahini and 2 eggs and could only wait 6 hours refrigeration. Otherwise the same. So good. Made 24 large cookies.,pos,favourite chocolate chip cookie caveat love halvah like soft cookie change c tahini egg wait hour refrigeration good large cookie
Sharon,"Made these tonight. Used 1/2 stick butter instead of whole stick, 1/3 cup each white sugar and brown sugar, only 1 cup of chocolate chunks (that's all I had) which I roughly chopped. Divided dough in half and added about 1/3 cup chopped toasted hazelnuts to half the dough. Baked small sized balls at 325 for 13 minutes. Forgot to sprinkle with salt but still absolutely divine!",pos,tonight stick butter instead stick cup white sugar brown sugar cup chocolate chunk roughly chop divide dough half add cup chop toast hazelnut half dough bake small sized ball minute forget sprinkle salt absolutely divine
JuliaS,"These are delicious; they have a nice crumbly texture. I might have overcooked them because it seemed like they just weren’t ready — maybe the tahini makes them look wetter than usual? Also, I got 2 dozen from the recipe. Next time I’ll experiment with the brown sugar others suggested.",pos,delicious nice crumbly texture overcook like weren t ready maybe tahini make look wetter usual get dozen recipe time ll experiment brown sugar suggest
Elizabeth,"I didn’t have chocolate chips, so I borrowed an idea from another NYT recipe for Chocolate-Peanut Butter Swirl cookies and divided the batter in half, adding 3T of unsweetened cocoa powder to half of it. Then I rolled about 1T from one half together with 1T from the other half. The cookies turned out beautiful and delicious.",pos,didn t chocolate chip borrow idea nyt recipe chocolate peanut butter swirl cookie divide batter half add t unsweetened cocoa powder half roll t half t half cookie turn beautiful delicious
Nik R,"I didn't want to stray too far from the recipe, however I used a mix of chocolate chunks and mini chips. I refrigerated for 12+ hours, used a small cookie scoop (my partner had broken our larger one), and I did some tests with flattening vs not. The first batch spread super thin after 15-16 min at 325. The second was the same after 20 minutes. I tried baking them at 350 for 15, then back at 325 for 14 min. All too thin but tasted good. Just crispy instead of chewy and very pale/light in color.",pos,want stray far recipe mix chocolate chunk mini chip refrigerate hour small cookie scoop partner break large test flatten vs batch spread super thin min second minute try bake min thin taste good crispy instead chewy pale light color
Spoons,"These are perfect cookies. Only chilled for an hour or two because I was impatient. Salt generously before baking, not after, or the salt doesn’t stick.",pos,perfect cookie chill hour impatient salt generously bake salt doesn t stick
Ashley,Will this be difficult to make mixed by hand? I don't have a Kitchenaid or handheld mixer,neu,difficult mixed hand kitchenaid handheld mixer
Jer,This is the best choc chip cookie recipe of all time. Including tahini is actually genius. Have made it so many times during quarantine,pos,good choc chip cookie recipe time include tahini actually genius time quarantine
Soba,"I'd say the overall flavor depends heavily on the quality of your tahini, and accounts for why the comments on this recipe are so varied. The splurge on great tahini (homemade if you like) is worth it.

I was too impatient to wait 12 hours, so I froze preportioned dough (1.5 Tbsp) for about 2 hours. Baked for 14 min at 325F, switching halfway from lower to top rack. Looked very pale when I took it out, but I patiently waited the 20 minutes -- texture was perfectly chewy-crisp! Will make again.",pos,overall flavor depend heavily quality tahini account comment recipe varied splurge great tahini homemade like worth impatient wait hour freeze preportione dough tbsp hour bake min f switch halfway low rack look pale take patiently wait minute texture perfectly chewy crisp
Christina,"The cookie is tasty, but a whole stick of butter & 1/2 c. tahini made these overly greasy, and I would have enjoyed them more had they been a little more subdued in the fat category. Another poster said she accidentally used only half the butter yet her recipe turned out delicious.  She probably inadvertently improved the recipe.",neu,cookie tasty stick butter c tahini overly greasy enjoy little subdued fat category poster say accidentally half butter recipe turn delicious probably inadvertently improve recipe
Seraphina,Wow Great recipe!,pos,wow great recipe
Bianca,"Nutty, comforting, delicious cookies! Fun tip - after 12 hours in the refrigerator, I baked half the batter and rolled the other half into balls to keep in the freezer. Presto - instant homemade cookies whenever the craving calls.

One modification I made was to use a 1/2 cup of sugar rather than the full 1 cup the recipe calls for. Still perfectly sweet :)",pos,nutty comforting delicious cookie fun tip hour refrigerator bake half batter roll half ball freezer presto instant homemade cookie craving call modification use cup sugar cup recipe call perfectly sweet
Naomi,Cookies were good but the tahini flavor was not detectable (even after upping the amount to 3/4 cups).,pos,cookie good tahini flavor detectable up cup
Malia,"I've tried with refrigerated dough and non-refrigerated, I didn't notice a difference. I had to cook much longer, over 20 minutes.",neu,try refrigerate dough non refrigerate notice difference cook long minute
Sean C,"I'm at about 325 in an electric oven and definitely needed a solid 20 minutes before they were baked enough to spatula off the tray. So good though. Even without the sprinkled salt on top (which I forgot to add the first time! Oops!) Also I don't have a mixing bowl with a paddle attachment so just used an electric whisk for the wet ingredients and mixed wet and dry by hand. Definitely not ideal. Wouldn't recommend it. But it'll work in a pinch. Just to say, don't be deterred by lack of equipment",pos,electric oven definitely need solid minute bake spatula tray good sprinkle salt forget add time oops mixing bowl paddle attachment electric whisk wet ingredient mixed wet dry hand definitely ideal recommend work pinch deter lack equipment
nikki m,This recipe was really great and the cookies come out nice and thin and chewy yet crisp at the edges. I swapped out half the granulated sugar for brown sugar. Next time will omit the granulated and just do a half cup of brown. Huge hit! The tahini is a nice touch that offers some nuttiness and thickness to the dough but isn’t overpowering to the taste.,pos,recipe great cookie come nice thin chewy crisp edge swap half granulated sugar brown sugar time omit granulated half cup brown huge hit tahini nice touch offer nuttiness thickness dough isn t overpower taste
Cara,These are the best cookies I have ever made.,pos,
Sue,"Quarantine adjustments: 1 stick salted butter, 1/2 tsp kosher salt; no fleur de sel; 1 tbsp scoop = 36 cookies. Baked for 13 1/2 minutes on a nonstick cookie sheet (no parchment paper, no silicon baking mat). Also, used a wonky handheld mixer, no fancy paddle attachment. Came out fine.",neu,quarantine adjustment stick salt butter tsp kosher salt fleur de sel tbsp scoop cookie bake minute nonstick cookie sheet parchment paper silicon baking mat wonky handheld mixer fancy paddle attachment come fine
Ernest,"Followed the recipe exactly and had good luck with it. Used ice cream scoop and ended up with 18 cookies, 6 to a cookie sheet in 3 batches. Cooked 16-17 minutes. Texture was very soft, as intended, almost fragile. But they were really good!",pos,follow recipe exactly good luck ice cream scoop end cookie cookie sheet batch cook minute texture soft intend fragile good
Michael,"These cookies slap. So tender, its like having a cookie version of a recees cup.",pos,cookie slap tender like have cookie version recee cup
kristine m,"These are amazing cookies. The tahini adds such a nice nutty, salty flavor. Followed recipe and cooked 1 batch longer for crispy cookies with ice cream, other batch less time for chewy stand alone snacks.",pos,amazing cookie tahini add nice nutty salty flavor follow recipe cooked batch long crispy cookie ice cream batch time chewy stand snack
AK,"I found it super easy to overcook these the first time I made them because they looked so pale at the end of the cooking time. They ended up being too hard. They turned out much better the second time, although still took longer than 16 minutes. Will probably increase the oven temp to 350 the next time.",neu,find super easy overcook time look pale end cooking time end hard turn well second time take long minute probably increase oven temp time
Dee,I have a large tub of black tahini from the holiday cookies...anyone tried this recipe with black tahini? I’m thinking it would make them look like chocolate cookies...but taste about the same. Thoughts?,neu,large tub black tahini holiday cookie try recipe black tahini m think look like chocolate cookie taste thought
S.Y,"Can omit 1/4 of sugar, use two eggs. Chill before baking. Thump so they flatten",neu,omit sugar use egg chill bake thump flatten
Marcy,"These are a new go-to! Upped the tahini a bit because I had to finish a container (Soom, highly recommend), and subbed half the sugar for dark brown sugar as others mentioned. The cookies don’t taste much like tahini but are delightfully sweet, bitter and salty. I froze most of the dough in portions to have a warm cookie whenever the craving hits (which will be often)",pos,new up tahini bit finish container soom highly recommend sub half sugar dark brown sugar mention cookie don t taste like tahini delightfully sweet bitter salty freeze dough portion warm cookie craving hit
Holly,"Favorite chocolate chip cookie recipe I’ve ever made! So good! Also, super easy to make!",pos,favorite chocolate chip cookie recipe ve good super easy
Megan,"I hate to be a negative Nancy (or is it Karen these days?), but I really didn’t love these cookies. I’ve been trying many different cookie recipes in quarantine using up ingredients in my pantry - I made these at the same time as a toasted quinoa chocolate chip cookie recipe and perhaps that was the death knell - these tasted flavorless in comparison. Even my 3 yo rejected them. I will attempt a second batch with some of the edits others have suggested, hopefully with more interesting results.",neg,hate negative nancy karen day didn t love cookie ve try different cookie recipe quarantine ingredient pantry time toasted quinoa chocolate chip cookie recipe death knell taste flavorless comparison yo reject attempt second batch edit suggest hopefully interesting result
S.T.,100 gram cookies make enormous cookies - I will do 60g next time. I added a splash of almond extract (but then I love marzipan).,neu,  gram cookie enormous cookie g time add splash almond extract love marzipan
kelly,"We overbaked these a smidge and they are crisp rather than chewy, but still quite nice.",pos,overbake smidge crisp chewy nice
Heidi,"I've been baking lots of cookies in quarantine and everyone in my house said these were the best ones yet! I followed this recipe to a T with a few small tweaks: 1) adding the whole bag of chocolate chunks to the batter, 2) salting them before they went into the oven, 3) refrigerated for over about 16 hours. Even with #2 and #3 being accidents, they still turned out amazing! Perfectly chewy on the inside and slightly crisp around the edges, yummy flavor, and just the right size.",pos,bake lot cookie quarantine house say good one follow recipe t small tweak add bag chocolate chunk batter salt go oven refrigerate hour accident turn amazing perfectly chewy inside slightly crisp edge yummy flavor right size
kmagkirk,"tremendously delicious cookies. pretty sure they have magical properties. last time i made them, my toddler distracted me and i left them in the oven a bit too long. they seemed dry, even while still warm, and i was sad that i had ruined the batch. still, i tried one the next day and it was very crunchy, a little too crunchy, but still good. flash forward 2 weeks later and not only were they still in my house, but they had softened to the chewy texture i had intended! MAGIC I TELL YOU!",pos,tremendously delicious cookie pretty sure magical property time toddler distract leave oven bit long dry warm sad ruin batch try day crunchy little crunchy good flash forward week later house soften chewy texture intend magic tell
Jutta,"Cookies Not Soft try reducing bake time and/or get an oven thermometer to make sure 325 is 325. Time on hot cookie sheet also effects cookie texture. Move them to cooling rack quickly. If it isn't any of that, could be your humidity levels and storage method.",neu,cookie soft try reduce bake time oven thermometer sure time hot cookie sheet effect cookie texture cool rack quickly humidity level storage method
Cookies not soft — help!,"I made these exactly as directed — no modifications. Refrigerated dough for a day. Cookies are great tasting, but definitely not soft. What did I do wrong? Thanks!",pos,exactly direct modification refrigerate dough day cookie great tasting definitely soft wrong thank
Frances,"I love this recipe, have made 4-5 times now but in the last 2 have tested switching the tahini to other similar ""pastes"" all of which have worked really well! Peanut butter (MERIDIAN - the real stuff which is quite oily with nothing else added) and Hazelnut butter (MERIDIAN again - similarly just hazelnuts made in to paste), with different types of chocolate chunks (milk with peanut and white chocolate with hazelnut) and they have all been delicious. All very popular with my friends",pos,love recipe time test switch tahini similar paste work peanut butter meridian real stuff oily add hazelnut butter meridian similarly hazelnut paste different type chocolate chunk milk peanut white chocolate hazelnut delicious popular friend
Sara,Followed the recipe as written except I used a small cookie scoop and made about 30 2-3 inch cookies. Baking time was 14 minutes and they came out delicious!,pos,follow recipe write small cookie scoop inch cookie baking time minute come delicious
Eilish,"After reading others comments I adapted the recipe as follows;
180ml (3/4 cup) of tahini instead of 120ml,
2 whole eggs
and a quarter dark brown sugar

Would sub dark brown for light in future for more caramel notes and less molasses, which whilst tasty slightly overpowered the tahini when baked.",neu,read comment adapt recipe follow ml cup tahini instead ml egg quarter dark brown sugar sub dark brown light future caramel note molasse whilst tasty slightly overpower tahini baked
Liva,"I used no-sugar-added cacao nibs. I loved the deep, natural cacao flavour.",pos,sugar add cacao nib love deep natural cacao flavour
elizabeth,I liked these but c and j didn’t,neu,like c j didn t
Alex,"I made these years ago and loved them so much. The last two times when I went back to make them again, the dough keeps coming out greasy and very soft. My current batch is in the freezer and I hope they'll bake well, but the last batch pooled and made one giant cookie on the baking sheet. That may have been because I subbed coconut sugar for 1/2 the sugar. But this time I followed the recipe exactly, and the dough still looks very shiny and hardly holds its form. Any tips???",pos,year ago love time go dough keep come greasy soft current batch freezer hope bake batch pool giant cookie baking sheet sub coconut sugar sugar time follow recipe exactly dough look shiny hardly hold form tip
gmc,"Love! They just came out of the oven and I can't wait to make them again. I followed the exact recipe above. Next time, I may use a fancier bittersweet chocolate because these cookies deserve the best.",pos,love come oven wait follow exact recipe time use fancy bittersweet chocolate cookie deserve good
Erin,"Turned out a bit grittier than I was expecting, though that may be because I used Whole Wheat flour (that was all I had on hand in these Quarantine Times). Loved them nonetheless!",pos,turn bit gritty expect wheat flour hand quarantine time love nonetheless
Julia,"These came out perfectly and are still chewy the next day. Love this recipe and will make again. Only thing i will do differently next time is letting them brown a bit more before removing from the oven. i followed the guidance to remove from the oven as soon as they start to brown on the bottom (about 16 minutes), but they came out more pale than I typically like.",pos,come perfectly chewy day love recipe thing differently time let brown bit remove oven follow guidance remove oven soon start brown minute come pale typically like
Liza,"Great cookie recipe!  Complex flavors meld together for a perfect cookie experience. I chopped up a few bittersweet chocolate bars & flattened mine with a wet spatula before baking.  Result is big flat cookies, chewy in the center with crispy edges.",pos,great cookie recipe complex flavor meld perfect cookie experience chop bittersweet chocolate bar flatten wet spatula baking result big flat cookie chewy center crispy edge
Margiemack,"I followed the recipe exactly, except that I made smaller balls to get more finished product.  No problem with that. My taster (husband) and I loved the crispiness of the cookie and the subtle nutty flavor, not overwhelmingly sesame. I'll make these again as long as I can buy tahini in these trying times.",pos,follow recipe exactly small ball finished product problem taster husband love crispiness cookie subtle nutty flavor overwhelmingly sesame long buy tahini try time
Dan Jackson,The batter for this cookie is absolutely gorgeous and delicious. Wow. I find the chocolate chips overwhelm the sesame flavor after baking. Next time I make this (soon) I will omit the chips and roll the balls in sesame seeds before baking. Also bake longer to enhance the sesame nutty flavor.,pos,batter cookie absolutely gorgeous delicious wow find chocolate chip overwhelm sesame flavor bake time soon omit chip roll ball sesame seed baking bake long enhance sesame nutty flavor
